YouTube ID,Chapter,Piece,Player,Gender,Comment
MTLAV__O7H4,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/1_Worth_While",Sherman Modeste,Male,
mxjlSFmGlNY,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/1_Worth_While",Jack O'Leary,Male,
c56FXn-GWww,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/1_Worth_While",Victoria Holland,Female,
mrKmXnDsIYA,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/1_Worth_While",Duana Leslie,Female,
uReprqfp6ag,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/2_The_Jungle_Flower",De'Courtneyous Miller,Male,
1C4OoGhKu4Q,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/2_The_Jungle_Flower",Tamara Lynn Richards,Female,
r1nJLvpZspw,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/2_The_Jungle_Flower",Sherman Modeste,Male,
vungVNm9vx0,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/2_The_Jungle_Flower",Johannes Linneballe,Male,
ay0mG0YK-RU,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/2_The_Jungle_Flower",Gregory Zavracky,Male,
h5gV222aqOM,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/2_The_Jungle_Flower",Murielle Smith,Female,
sbhaTeuak_w,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/3_Kashmiri_Song",Duana Leslie,Female,
osn2HJkGAzw,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/3_Kashmiri_Song",LeTara Lee,Female,
zx-jm9EYbHs,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/3_Kashmiri_Song",Sherman Modeste,Male,
tFuBJseyJYI,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/3_Kashmiri_Song",Bo Shimmin,Male,
UoB5ZlYLGmU,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/4_Among_the_Fuchsias",Nicholas Phan,Male,
NBb7U8R0a8U,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/4_Among_the_Fuchsias",Victoria Holland,Female,
kG2TeKUNqyg,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/4_Among_the_Fuchsias",Joan Fearnley,Female,
iboAN-XspnE,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/4_Among_the_Fuchsias",Duana Leslie,Female,
zjgqsxuN4-8,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/4_Among_the_Fuchsias",Arielle Armstrong,Female,
yYBAkPj5D3w,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/4_Among_the_Fuchsias",Cynthia Hayman,Female,
rP9XrKqvfHE,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/5_Till_I_Wake",Madison Leonard,Female,
1u4BiTXG30w,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/5_Till_I_Wake",Sherman Modeste,Male,
qVNmSQm3BGM,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/5_Till_I_Wake",Cynthia Hayman,Female,
3AjzF_wvvtA,,"Burleigh,_Harry_Thacker/5_Songs_of_Laurence_Hope/5_Till_I_Wake",Duana Leslie,Female,
_i0AloN6Nq0,,"Burleigh,_Harry_Thacker/_/Ethiopia_Saluting_the_Colors",Oral Moses,Male,
MbiTIF7F4Vs,,"Burleigh,_Harry_Thacker/_/Ethiopia_Saluting_the_Colors",George Spitzer,Male,
yHNuATpJcm8,,"Burleigh,_Harry_Thacker/_/Ethiopia_Saluting_the_Colors",Daniel Washington,Male,
5PTsvPb8bwM,,"Burleigh,_Harry_Thacker/_/Ethiopia_Saluting_the_Colors",Thomas West,Male,
xSV4M6WT87g,,"Burleigh,_Harry_Thacker/_/Go_down,_Moses",Steven Kirby,Male,
ZOoNAlbOqXk,,"Burleigh,_Harry_Thacker/_/Go_down,_Moses",Arthur Woodley,Male,
v5rdGZpKzIk,,"Burleigh,_Harry_Thacker/_/Go_down,_Moses",Sylvia D Jones,Female,
YtlD3fjh5fI,,"Burleigh,_Harry_Thacker/_/Go_down,_Moses",Marian Anderson,Female,
1OkJgI9xQyg,,"Burleigh,_Harry_Thacker/_/Go_down,_Moses",Bro Stacy Harley,Male,
9oNjVgAMi6w,,"Burleigh,_Harry_Thacker/_/Nobody_Knows_de_Trouble_I’ve_Seen",Célia Oneto Bensaid,Female,
oPFRRzKjJG8,,"Burleigh,_Harry_Thacker/_/Nobody_Knows_de_Trouble_I’ve_Seen",Pip Sauvage,Female,
p7fxy087_fQ,,"Burleigh,_Harry_Thacker/_/Nobody_Knows_de_Trouble_I’ve_Seen",Thomas Dawkins,Male,
